-DOCSTART- -X- -X- O

steve O O B-ACTOR
mcqueen O O I-ACTOR
provided O O O
a O O O
thrilling O O B-PLOT
motorcycle O O I-PLOT
chase O O I-PLOT
in O O I-PLOT
this O O I-PLOT
greatest O O B-OPINION
of O O I-OPINION
all O O I-OPINION
ww O O B-PLOT
2 O O I-PLOT
prison O O I-PLOT
escape O O I-PLOT
movies O O I-PLOT

liza O O B-ACTOR
minnelli O O I-ACTOR
and O O O
joel O O B-ACTOR
gray O O I-ACTOR
won O O B-AWARD
oscars O O I-AWARD
for O O O
their O O O
roles O O O
in O O O
this O O O
1972 O O B-YEAR
movie O O O
that O O B-PLOT
follows O O I-PLOT
nightclub O O I-PLOT
entertainers O O I-PLOT
in O O I-PLOT
berlin O O I-PLOT
as O O I-PLOT
the O O I-PLOT
nazis O O I-PLOT
come O O I-PLOT
to O O I-PLOT
power O O I-PLOT

what O O O
is O O O
that O O O
tom O O B-ACTOR
hanks O O I-ACTOR
and O O O
julia O O B-ACTOR
roberts O O I-ACTOR
movie O O O
about O O O
hanks O O B-PLOT
who O O I-PLOT
plays O O I-PLOT
a O O I-PLOT
down O O I-PLOT
on O O I-PLOT
his O O I-PLOT
luck O O I-PLOT
average O O I-PLOT
guy O O I-PLOT
who O O I-PLOT
goes O O I-PLOT
back O O I-PLOT
to O O I-PLOT
college O O I-PLOT
and O O I-PLOT
gets O O I-PLOT
taught O O I-PLOT
by O O I-PLOT
roberts O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
making O O B-PLOT
fun O O I-PLOT
of O O I-PLOT
macgyver O O I-PLOT
by O O I-PLOT
re O O I-PLOT
enacting O O I-PLOT
scenes O O I-PLOT
similar O O I-PLOT
to O O I-PLOT
his O O I-PLOT
movies O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
an O O O
animated O O B-GENRE
film O O O
based O O B-ORIGIN
on O O I-ORIGIN
a O O I-ORIGIN
classic O O I-ORIGIN
theodor O O I-ORIGIN
geisel O O I-ORIGIN
children O O I-ORIGIN
s O O I-ORIGIN
novel O O I-ORIGIN
about O O O
a O O B-PLOT
young O O I-PLOT
boy O O I-PLOT
s O O I-PLOT
quest O O I-PLOT
to O O I-PLOT
save O O I-PLOT
the O O I-PLOT
trees O O I-PLOT

what O O O
1981 O O B-YEAR
feature O O O
film O O O
starring O O O
mel O O B-ACTOR
gibson O O I-ACTOR
takes O O B-PLOT
place O O I-PLOT
in O O I-PLOT
a O O I-PLOT
post O O I-PLOT
apocalyptic O O I-PLOT
world O O I-PLOT
in O O I-PLOT
australia O O I-PLOT

this O O O
steven O O B-DIRECTOR
speilberg O O I-DIRECTOR
supernatural O O B-GENRE
story O O O
of O O O
a O O O
haunted O O B-PLOT
house O O I-PLOT
made O O O
many O O O
filmgoers O O O
afraid O O O
of O O O
clowns O O O

in O O O
what O O O
1997 O O B-YEAR
movie O O O
is O O O
there O O O
a O O O
scene O O O
featuring O O O
muscians O O O
playing O O O
on O O O
the O O O
deck O O O
of O O O
a O O O
ship O O O

what O O O
s O O O
the O O O
movie O O O
with O O O
julie O O B-ACTOR
andre O O I-ACTOR
where O O O
she O O B-PLOT
sings O O I-PLOT
and O O I-PLOT
flies O O I-PLOT
with O O I-PLOT
an O O I-PLOT
umbrella O O I-PLOT
and O O O
dick O O B-ACTOR
van O O I-ACTOR
dyke O O I-ACTOR

what O O O
is O O O
the O O O
movie O O O
where O O O
jbiebs O O B-ACTOR
does O O B-PLOT
his O O I-PLOT
concerts O O I-PLOT

what O O O
was O O O
banksy O O B-DIRECTOR
the O O O
star O O O
and O O O
director O O O
doing O O O
before O O O
he O O O
created O O O
this O O O
film O O O

john O O B-ACTOR
travolta O O I-ACTOR
had O O O
that O O O
one O O O
scene O O O
where O O O
he O O O
had O O O
to O O O
jam O O O
the O O O
saving O O O
rod O O O
into O O O
a O O O
woman O O O
s O O O
chest O O O

what O O O
is O O O
the O O O
1959 O O B-YEAR
american O O B-GENRE
thriller O O I-GENRE
film O O O
directed O O O
by O O O
alfred O O B-DIRECTOR
hitchcock O O I-DIRECTOR
and O O O
starring O O O
cary O O B-ACTOR
grant O O I-ACTOR
and O O O
eva O O B-ACTOR
marie O O I-ACTOR
saint O O I-ACTOR

i O O O
m O O O
thinking O O O
of O O O
an O O O
80 O O B-YEAR
s O O I-YEAR
comedy O O B-GENRE
film O O I-GENRE
that O O O
stars O O O
dustin O O B-ACTOR
hoffman O O I-ACTOR
and O O O
terri O O B-ACTOR
garr O O I-ACTOR
where O O O
hoffman O O O
s O O O
character O O B-PLOT
dresses O O I-PLOT
up O O I-PLOT
as O O I-PLOT
a O O I-PLOT
woman O O I-PLOT
to O O I-PLOT
land O O I-PLOT
a O O I-PLOT
job O O I-PLOT

what O O O
movie O O O
is O O O
about O O O
a O O O
teenage O O B-PLOT
boy O O I-PLOT
getting O O I-PLOT
bit O O I-PLOT
by O O I-PLOT
a O O I-PLOT
radioactive O O I-PLOT
arachnid O O I-PLOT
and O O I-PLOT
gaining O O I-PLOT
super O O I-PLOT
powers O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
a O O O
blockbuster O O B-OPINION
science O O B-GENRE
fiction O O I-GENRE
film O O O
that O O O
stars O O O
will O O B-ACTOR
smith O O I-ACTOR
and O O O
tommy O O B-ACTOR
lee O O I-ACTOR
jones O O I-ACTOR
as O O O
undercover O O B-PLOT
agents O O I-PLOT
who O O I-PLOT
fight O O I-PLOT
intergalactic O O I-PLOT
beings O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
a O O O
film O O O
in O O O
which O O O
a O O B-PLOT
little O O I-PLOT
girl O O I-PLOT
s O O I-PLOT
house O O I-PLOT
accidentally O O I-PLOT
lands O O I-PLOT
on O O I-PLOT
top O O I-PLOT
of O O I-PLOT
a O O I-PLOT
witch O O I-PLOT
and O O I-PLOT
the O O I-PLOT
witches O O I-PLOT
sister O O I-PLOT
vows O O I-PLOT
revenge O O I-PLOT

what O O O
baseball O O B-GENRE
film O O I-GENRE
starring O O O
dennis O O B-ACTOR
quaid O O I-ACTOR
is O O O
based O O B-ORIGIN
on O O I-ORIGIN
the O O I-ORIGIN
true O O I-ORIGIN
story O O I-ORIGIN
of O O I-ORIGIN
pitcher O O I-ORIGIN
